Year,Month,Avg_Temp,Avg_Feelslike,Avg_Dew,Avg_Humidity,Avg_Precipitation,Avg_Precipitation_Probability,Avg_Precipitation_Coverage,Avg_Snowfall,Avg_Snow_Depth,Avg_Wind_Gust,Avg_Wind_Speed,Avg_Wind_Direction,Avg_Pressure,Avg_Cloud_Cover,Avg_Visibility,Avg_Solar_Radiation,Avg_Solar_Energy,Avg_UV_Index
2017,1,12.980645161290322,12.851612903225806,9.074193548387097,79.46774193548387,4.403161290322581,54.83870967741935,5.78,0.0,0.0,15.735483870967743,9.116129032258065,260.4806451612903,1017.8838709677419,46.84193548387096,1.7741935483870968,133.2258064516129,11.519354838709678,5.419354838709677
2017,2,16.821428571428573,16.8,11.046428571428573,72.18571428571428,0.35232142857142856,25.0,2.232142857142857,0.0,0.0,18.146428571428572,11.62142857142857,281.0892857142857,1015.7607142857142,39.050000000000004,2.3285714285714287,192.21428571428572,16.614285714285714,6.964285714285714
2017,3,20.706451612903226,20.519354838709678,10.738709677419354,57.81290322580645,0.9616774193548387,32.25806451612903,3.4941935483870967,0.0,0.0,21.98709677419355,13.367741935483872,292.7903225806452,1011.2258064516129,36.00645161290323,3.02258064516129,242.17419354838708,20.906451612903226,8.451612903225806
2017,4,28.496666666666666,27.87,11.073333333333332,38.343333333333334,0.8895666666666666,40.0,4.305666666666667,0.0,0.0,23.95,14.383333333333333,205.93666666666667,1005.7633333333334,22.226666666666667,2.9166666666666665,287.7133333333333,24.833333333333332,9.466666666666667
2017,5,31.64516129032258,31.67096774193548,14.899999999999999,39.4741935483871,0.7491935483870968,67.74193548387096,4.032903225806452,0.0,0.0,22.603225806451615,11.761290322580646,208.17741935483872,1003.3580645161289,33.49677419354839,2.5483870967741935,286.2451612903226,24.76774193548387,9.096774193548388
2017,6,30.923333333333336,33.233333333333334,20.55,59.14666666666667,4.614199999999999,70.0,7.777666666666667,0.0,0.0,19.93,12.023333333333333,238.15,1000.0333333333333,37.406666666666666,2.8033333333333332,263.86333333333334,22.766666666666666,8.4
2017,7,30.103225806451615,36.13225806451613,25.02258064516129,75.11612903225806,6.368516129032258,96.7741935483871,11.962580645161289,0.0,0.0,17.09032258064516,9.654838709677419,171.33225806451614,999.8838709677419,67.41935483870968,2.7225806451612904,212.72903225806454,18.39032258064516,7.096774193548387
2017,8,29.003225806451614,34.45161290322581,25.44516129032258,81.86774193548388,13.701935483870967,100.0,10.618387096774194,0.0,0.0,15.403225806451612,7.796774193548386,194.66774193548386,1001.3483870967742,62.04516129032258,2.52258064516129,198.50645161290322,17.11935483870968,7.096774193548387
2017,9,27.77,30.266666666666666,23.21333333333333,77.87333333333332,4.7265,60.0,6.528333333333333,0.0,0.0,14.236666666666668,9.576666666666666,277.37333333333333,1005.7533333333333,34.973333333333336,2.79,214.61333333333332,18.529999999999998,7.333333333333333
2017,10,24.98709677419355,25.31935483870968,16.870967741935484,64.12258064516129,0.01935483870967742,6.451612903225806,0.26903225806451614,0.0,0.0,12.641935483870967,7.432258064516129,199.88387096774193,1009.2709677419356,3.2516129032258063,2.361290322580645,211.74193548387098,18.26774193548387,7.612903225806452
2017,11,17.683333333333334,17.653333333333332,11.936666666666667,72.14,0.030266666666666667,13.333333333333334,0.6946666666666667,0.0,0.0,13.816666666666666,5.863333333333333,253.61333333333332,1014.75,17.65,1.3466666666666667,164.75333333333336,14.236666666666668,6.266666666666667
2017,12,14.196774193548388,14.112903225806452,9.254838709677419,75.38387096774194,1.161516129032258,12.903225806451612,1.7474193548387098,0.0,0.0,14.432258064516128,6.487096774193549,267.19354838709677,1017.3548387096774,33.377419354838715,1.3290322580645162,142.96774193548387,12.345161290322581,5.709677419354839
2018,1,12.332258064516129,12.038709677419355,6.867741935483871,73.54516129032258,0.32903225806451614,6.451612903225806,0.6722580645161291,0.0,0.0,16.5,7.425806451612903,289.27741935483874,1015.0677419354838,22.44516129032258,1.2870967741935484,157.21612903225807,13.406451612903227,6.096774193548387
2018,2,16.814285714285713,16.75,8.371428571428572,62.778571428571425,1.282892857142857,17.857142857142858,2.232142857142857,0.0,0.0,19.146428571428572,8.667857142857143,301.33214285714286,1014.9571428571428,36.41785714285714,1.9392857142857143,195.91428571428574,16.932142857142857,7.25
2018,3,22.251612903225805,21.93548387096774,11.464516129032257,55.229032258064514,0.2444516129032258,29.032258064516128,2.5538709677419353,0.0,0.0,21.6,9.709677419354838,271.45806451612907,1010.4709677419354,23.23225806451613,2.2548387096774194,242.08064516129033,20.93548387096774,8.35483870967742
2018,4,27.246666666666666,26.873333333333335,13.666666666666666,47.406666666666666,1.4011333333333333,60.0,5.000333333333333,0.0,0.0,22.946666666666665,9.233333333333333,224.72333333333333,1006.86,29.016666666666666,2.1533333333333333,270.78333333333336,23.386666666666667,9.1
2018,5,30.793548387096774,30.5258064516129,14.406451612903227,41.3,0.886741935483871,58.064516129032256,3.361612903225806,0.0,0.0,22.151612903225807,9.812903225806451,221.13870967741937,1003.0548387096775,26.996774193548386,2.0451612903225804,298.7451612903226,25.845161290322583,9.35483870967742
2018,6,31.67,34.85,21.69333333333333,58.23666666666667,5.9591666666666665,70.0,7.083333333333333,0.0,0.0,19.57,8.06,207.86333333333332,997.9333333333333,35.53333333333333,2.02,262.7766666666667,22.69,8.166666666666666
2018,7,29.55806451612903,35.16129032258065,25.177419354838708,78.16451612903225,8.633451612903226,90.3225806451613,10.21516129032258,0.0,0.0,16.19677419354839,6.932258064516129,199.89032258064515,997.5903225806452,62.829032258064515,2.074193548387097,206.50322580645164,17.848387096774193,7.32258064516129
