District,Year,Month,Avg_Temp,Avg_Dew,Avg_Humidity,Avg_Precipitation
amritsar,2017,1,12.061290322580644,9.938709677419356,89.25483870967743,1.5816129032258064
amritsar,2017,2,15.714285714285714,11.328571428571427,79.23928571428571,0.173
amritsar,2017,3,19.47741935483871,13.33548387096774,72.35161290322581,0.759516129032258
amritsar,2017,4,27.456666666666667,12.033333333333331,44.373333333333335,1.3603333333333334
amritsar,2017,5,31.541935483870965,14.596774193548388,39.57096774193548,0.6837096774193548
amritsar,2017,6,31.03,21.26,62.28333333333333,6.3245000000000005
amritsar,2017,7,30.60322580645161,28.212903225806453,88.32903225806452,9.499032258064515
amritsar,2017,8,29.9,27.93548387096774,90.26129032258063,3.4863870967741937
amritsar,2017,9,28.423333333333336,24.9,83.49333333333334,0.5281
amritsar,2017,10,25.31935483870968,19.85483870967742,75.28709677419356,0.0032258064516129
amritsar,2017,11,16.79,12.58,79.88000000000001,0.1059
amritsar,2017,12,13.170967741935485,8.061290322580644,75.84516129032258,0.4216451612903226
amritsar,2018,1,11.603225806451611,7.593548387096774,80.59354838709677,0.1928709677419355
amritsar,2018,2,15.478571428571428,10.19285714285714,74.60357142857143,0.7168928571428571
amritsar,2018,3,21.135483870967743,13.919354838709678,68.45806451612903,0.091
amritsar,2018,4,26.846666666666668,15.7,56.336666666666666,0.8902666666666667
amritsar,2018,5,31.616129032258065,13.53225806451613,37.65806451612904,0.2095806451612903
amritsar,2018,6,32.07666666666667,20.563333333333333,55.0,4.192866666666666
amritsar,2018,7,30.25483870967742,24.89354838709677,74.61290322580645,7.0612258064516125
amritsar,2018,8,30.13225806451613,25.258064516129032,76.38709677419355,2.705161290322581
amritsar,2018,9,27.67,22.5,75.19666666666667,10.066833333333332
amritsar,2018,10,23.306451612903224,17.154838709677417,70.97096774193548,0.6782903225806451
amritsar,2018,11,17.826666666666664,11.846666666666666,71.38000000000001,0.1995999999999999
amritsar,2018,12,12.077419354838709,7.361290322580645,76.70967741935483,0.0234193548387096
amritsar,2019,1,10.964516129032257,6.97741935483871,79.47096774193548,0.7383548387096774
amritsar,2019,2,13.564285714285717,9.525,79.65714285714286,3.6797142857142857
amritsar,2019,3,17.874193548387098,10.651612903225804,66.3225806451613,0.2452258064516129
amritsar,2019,4,26.56,15.573333333333332,55.71666666666667,1.2180666666666666
amritsar,2019,5,30.125806451612902,14.019354838709678,41.88709677419355,0.4053870967741935
amritsar,2019,6,33.24,17.490000000000002,42.86,0.8081333333333334
amritsar,2019,7,30.080645161290324,24.270967741935483,73.48064516129033,7.514483870967743
amritsar,2019,8,29.90322580645161,25.283870967741933,77.35161290322581,2.6476774193548387
amritsar,2019,9,28.96,24.05333333333333,76.08333333333333,2.4256666666666664
amritsar,2019,10,23.774193548387096,18.32903225806452,73.71290322580644,0.4146774193548387
amritsar,2019,11,18.183333333333334,13.516666666666667,76.14333333333335,1.7892666666666666
amritsar,2019,12,10.36774193548387,7.938709677419355,86.37741935483871,1.5388387096774194
amritsar,2020,1,10.422580645161291,7.15483870967742,82.28064516129032,1.8157419354838709
amritsar,2020,2,14.53103448275862,9.751724137931037,75.82758620689656,0.6722413793103449
amritsar,2020,3,18.038709677419355,13.422580645161291,76.51612903225806,2.313612903225806
amritsar,2020,4,24.38,16.063333333333333,62.79,1.1977666666666666
amritsar,2020,5,29.770967741935483,16.629032258064516,48.92903225806452,0.3427096774193549
amritsar,2020,6,31.206666666666667,20.72,55.76,1.4042333333333334
amritsar,2020,7,30.68064516129032,24.716129032258067,71.64838709677419,6.66283870967742
amritsar,2020,8,30.0,25.706451612903223,78.64516129032258,6.618806451612903
amritsar,2020,9,29.706666666666667,24.24333333333333,74.08333333333333,0.7945
amritsar,2020,10,24.26129032258065,16.261290322580646,65.14193548387097,0.0
amritsar,2020,11,16.76,10.836666666666668,71.80333333333333,0.4655666666666667
amritsar,2020,12,11.293548387096775,8.24516129032258,83.76129032258065,0.6834193548387096
barnala,2017,1,13.112903225806452,9.33548387096774,80.07741935483871,2.738709677419355
barnala,2017,2,17.125,10.325,68.82857142857144,0.2321428571428571
barnala,2017,3,21.9741935483871,11.170967741935485,55.51290322580645,0.6290322580645161
barnala,2017,4,30.383333333333333,11.513333333333332,34.96666666666667,0.2466666666666666
barnala,2017,5,33.722580645161294,15.451612903225806,36.20645161290323,0.5483870967741935
barnala,2017,6,32.333333333333336,21.49333333333333,57.266666666666666,5.290000000000001
barnala,2017,7,31.574193548387097,25.76129032258065,72.4483870967742,3.470967741935484
barnala,2017,8,31.167741935483868,25.648387096774197,73.81290322580645,2.441935483870968
barnala,2017,9,29.62333333333333,22.956666666666667,70.16666666666667,1.8966666666666667
barnala,2017,10,27.032258064516128,16.738709677419354,56.81612903225806,0.0032258064516129
barnala,2017,11,18.35666666666667,12.69,72.65666666666667,0.2
barnala,2017,12,14.387096774193548,8.238709677419354,70.24516129032257,0.4161290322580645
barnala,2018,1,12.832258064516129,7.509677419354839,74.16451612903225,0.5645161290322581
barnala,2018,2,16.896428571428572,9.667857142857144,66.33571428571429,0.7642857142857142
barnala,2018,3,23.06451612903226,13.529032258064516,58.7483870967742,0.4806451612903226
barnala,2018,4,28.85666666666667,14.323333333333332,45.52333333333333,0.65
barnala,2018,5,32.958064516129035,14.290322580645162,36.13870967741936,0.5709677419354838
barnala,2018,6,33.586666666666666,21.78333333333333,53.32,2.563333333333333
barnala,2018,7,30.72903225806452,25.967741935483872,77.0,6.687096774193548
barnala,2018,8,30.30967741935484,26.238709677419354,79.69354838709677,4.235483870967743
barnala,2018,9,28.27,23.94,78.91666666666667,6.776666666666667
barnala,2018,10,24.41290322580645,17.467741935483872,68.30000000000001,0.2032258064516129
barnala,2018,11,19.290000000000003,12.383333333333333,67.68,0.3433333333333334
barnala,2018,12,13.04516129032258,8.3,76.24193548387096,0.6548387096774193
barnala,2019,1,12.087096774193547,7.774193548387097,77.54516129032258,2.5806451612903225
barnala,2019,2,14.525,10.689285714285717,79.70357142857142,2.607142857142857
barnala,2019,3,19.62903225806452,12.351612903225806,66.48387096774194,0.8580645161290323
barnala,2019,4,28.00333333333333,15.603333333333332,51.43333333333333,1.7433333333333332
barnala,2019,5,31.36774193548387,14.383870967741936,40.23225806451613,0.9161290322580644
barnala,2019,6,34.7,18.72,42.99333333333333,0.5399999999999999
barnala,2019,7,31.00967741935484,25.200000000000003,73.00645161290322,3.603225806451613
barnala,2019,8,30.216129032258067,26.27741935483871,80.19677419354838,6.458064516129033
barnala,2019,9,30.12333333333333,25.05,75.46000000000001,1.086666666666667
barnala,2019,10,25.86774193548387,17.796774193548387,63.75483870967742,0.3548387096774194
barnala,2019,11,19.75333333333333,13.753333333333334,71.04333333333334,1.1866666666666668
barnala,2019,12,11.580645161290322,8.541935483870969,83.49677419354839,0.6483870967741936
barnala,2020,1,11.587096774193547,8.306451612903226,82.11612903225806,1.870967741935484
barnala,2020,2,15.762068965517242,10.093103448275862,72.17241379310344,1.4310344827586208
barnala,2020,3,19.83225806451613,14.290322580645162,73.13870967741936,3.3096774193548386
barnala,2020,4,27.15,14.616666666666667,50.52666666666666,0.9166666666666666
barnala,2020,5,31.348387096774196,16.09032258064516,44.86774193548387,2.177419354838709
barnala,2020,6,32.50666666666667,22.49333333333333,57.92333333333333,0.8766666666666667
barnala,2020,7,31.48709677419355,25.590322580645164,72.59677419354838,3.8774193548387097
barnala,2020,8,30.57741935483871,26.416129032258063,79.26129032258065,3.264516129032258
barnala,2020,9,31.566666666666663,23.05333333333333,63.376666666666665,1.5433333333333332
barnala,2020,10,25.961290322580645,13.596774193548388,50.28064516129032,0.0
barnala,2020,11,17.84333333333333,10.296666666666663,65.17333333333333,1.346666666666667
barnala,2020,12,13.035483870967743,8.85483870967742,78.35161290322581,0.1999999999999999
bathinda,2017,1,13.351612903225806,8.916129032258064,77.19354838709677,1.7483870967741937
bathinda,2017,2,18.125,8.307142857142857,59.81428571428571,0.0821428571428571
bathinda,2017,3,22.90967741935484,10.02258064516129,49.32903225806452,0.4548387096774194
bathinda,2017,4,31.166666666666668,10.68,31.89333333333333,0.25
bathinda,2017,5,34.3258064516129,15.17741935483871,34.28064516129032,0.3677419354838709
bathinda,2017,6,32.776666666666664,21.62333333333333,56.1,4.89
bathinda,2017,7,32.29032258064516,25.425806451612903,68.50967741935484,3.009677419354839
bathinda,2017,8,32.26451612903226,24.916129032258063,66.93548387096774,2.448387096774194
bathinda,2017,9,30.113333333333333,22.516666666666666,66.75,1.3133333333333332
bathinda,2017,10,27.61290322580645,16.35483870967742,53.79677419354839,0.0
bathinda,2017,11,18.55333333333333,12.53,71.16000000000001,0.2366666666666667
bathinda,2017,12,14.609677419354838,7.641935483870968,66.95483870967742,0.4129032258064516
