District,Year,Month,Avg_Temp,Avg_Feelslike,Avg_Dew,Avg_Humidity,Avg_Precipitation,Avg_Precipitation_Probability,Avg_Precipitation_Coverage,Avg_Snowfall,Avg_Snow_Depth,Avg_Wind_Gust,Avg_Wind_Speed,Avg_Wind_Direction,Avg_Pressure,Avg_Cloud_Cover,Avg_Visibility,Avg_Solar_Radiation,Avg_Solar_Energy,Avg_UV_Index
amritsar,2017,1,12.061290322580644,12.02258064516129,9.938709677419356,89.25483870967743,1.5816129032258064,35.483870967741936,3.091290322580645,0.0,0.0,13.361290322580643,10.303225806451612,213.6709677419355,1018.2967741935483,44.7483870967742,1.532258064516129,123.93225806451612,10.709677419354838,4.903225806451613
amritsar,2017,2,15.714285714285714,15.714285714285714,11.328571428571427,79.23928571428571,0.173,14.285714285714286,0.5957142857142858,0.0,0.0,16.29642857142857,10.071428571428571,262.10714285714283,1016.2071428571428,32.09285714285714,2.0964285714285715,184.8892857142857,15.964285714285714,6.75
amritsar,2017,3,19.47741935483871,19.54516129032258,13.33548387096774,72.35161290322581,0.759516129032258,16.129032258064516,1.21,0.0,0.0,16.506451612903227,10.109677419354838,278.1645161290323,1011.9967741935484,36.30645161290322,2.696774193548387,228.14193548387092,19.700000000000003,7.935483870967742
amritsar,2017,4,27.456666666666667,26.9,12.033333333333331,44.373333333333335,1.3603333333333334,26.666666666666668,2.222666666666667,0.0,0.0,23.826666666666664,15.943333333333332,232.93,1006.1033333333332,23.023333333333333,2.9,281.56666666666666,24.3,9.266666666666667
amritsar,2017,5,31.541935483870965,31.490322580645163,14.596774193548388,39.57096774193548,0.6837096774193548,19.35483870967742,1.21,0.0,0.0,24.038709677419355,14.112903225806452,187.2322580645161,1003.6387096774192,30.677419354838708,2.519354838709677,282.73870967741937,24.42258064516129,9.03225806451613
amritsar,2017,6,31.03,33.96666666666667,21.26,62.28333333333333,6.3245000000000005,56.66666666666666,5.139333333333334,0.0,0.0,21.35666666666667,17.69333333333333,192.3733333333333,1000.0066666666668,35.40333333333333,2.6533333333333333,261.1933333333333,22.62333333333333,8.166666666666666
amritsar,2017,7,30.60322580645161,41.91290322580645,28.212903225806453,88.32903225806452,9.499032258064515,77.41935483870968,6.048387096774194,0.0,0.0,18.61290322580645,11.264516129032256,124.94193548387096,999.632258064516,49.77741935483871,2.5032258064516126,218.08387096774197,18.82903225806452,7.387096774193548
amritsar,2017,8,29.9,39.96451612903226,27.93548387096774,90.26129032258063,3.4863870967741937,51.61290322580645,3.226451612903225,0.0,0.0,16.76451612903226,10.196774193548388,153.86129032258063,1001.1516129032258,48.86774193548387,2.6806451612903226,208.29032258064515,17.961290322580645,7.161290322580645
amritsar,2017,9,28.423333333333336,32.593333333333334,24.9,83.49333333333334,0.5281,23.33333333333333,1.667,0.0,0.0,15.85,8.67,234.00666666666663,1005.7133333333334,36.35666666666667,2.77,224.57333333333327,19.376666666666665,7.733333333333333
amritsar,2017,10,25.31935483870968,26.432258064516127,19.85483870967742,75.28709677419356,0.0032258064516129,3.225806451612903,0.134516129032258,0.0,0.0,12.048387096774194,6.574193548387097,214.8032258064516,1009.5612903225808,0.7483870967741936,2.029032258064516,207.80645161290323,17.91290322580645,7.419354838709677
amritsar,2017,11,16.79,16.793333333333333,12.58,79.88000000000001,0.1059,10.0,0.6943333333333332,0.0,0.0,11.956666666666669,6.246666666666667,237.51,1015.28,17.529999999999998,1.13,155.01666666666668,13.38,5.866666666666666
amritsar,2017,12,13.170967741935485,13.158064516129032,8.061290322580644,75.84516129032258,0.4216451612903226,6.451612903225806,0.8064516129032258,0.0,0.0,12.151612903225804,7.287096774193548,273.3774193548387,1018.0193548387095,32.58387096774194,1.4903225806451614,137.49354838709678,11.906451612903227,5.516129032258065
amritsar,2018,1,11.603225806451611,11.558064516129033,7.593548387096774,80.59354838709677,0.1928709677419355,3.225806451612903,0.4032258064516129,0.0,0.0,12.4,7.183870967741935,227.06451612903223,1015.583870967742,31.9,1.2580645161290325,149.4516129032258,12.825806451612904,5.903225806451613
amritsar,2018,2,15.478571428571428,15.453571428571427,10.19285714285714,74.60357142857143,0.7168928571428571,10.714285714285714,1.4878571428571428,0.0,0.0,14.482142857142858,9.614285714285714,267.2642857142857,1015.7071428571428,35.09642857142857,2.185714285714286,189.4,16.35,6.964285714285714
amritsar,2018,3,21.135483870967743,21.032258064516128,13.919354838709678,68.45806451612903,0.091,19.35483870967742,1.6132258064516132,0.0,0.0,16.406451612903226,11.203225806451613,233.40967741935484,1011.332258064516,28.88387096774193,2.467741935483871,235.74516129032256,20.387096774193548,8.129032258064516
amritsar,2018,4,26.846666666666668,26.77,15.7,56.336666666666666,0.8902666666666667,26.666666666666668,1.667,0.0,0.0,19.39333333333333,12.586666666666668,177.52666666666667,1007.52,28.026666666666664,2.6566666666666667,273.35,23.613333333333333,9.2
amritsar,2018,5,31.616129032258065,31.23548387096774,13.53225806451613,37.65806451612904,0.2095806451612903,41.935483870967744,3.3603225806451613,0.0,0.0,20.425806451612903,15.04516129032258,215.1,1003.7096774193548,32.24516129032258,2.564516129032258,294.03548387096777,25.41935483870968,9.483870967741936
amritsar,2018,6,32.07666666666667,34.483333333333334,20.563333333333333,55.0,4.192866666666666,46.66666666666666,3.6116666666666655,0.0,0.0,22.26,15.17,178.55,998.19,35.36333333333334,2.286666666666666,266.54,23.066666666666663,8.266666666666667
amritsar,2018,7,30.25483870967742,36.26129032258064,24.89354838709677,74.61290322580645,7.0612258064516125,74.19354838709677,5.511935483870968,0.0,0.0,15.609677419354838,10.841935483870968,145.68387096774194,997.7258064516128,52.4483870967742,2.2483870967741937,218.8161290322581,18.9,7.387096774193548
amritsar,2018,8,30.13225806451613,36.37096774193548,25.258064516129032,76.38709677419355,2.705161290322581,48.38709677419355,3.3603225806451613,0.0,0.0,15.63548387096774,8.654838709677419,152.08709677419355,999.4225806451612,56.803225806451614,2.306451612903226,205.84193548387097,17.75483870967742,7.161290322580645
amritsar,2018,9,27.67,30.32,22.5,75.19666666666667,10.066833333333332,46.66666666666666,3.8896666666666655,0.0,0.0,15.883333333333333,9.846666666666666,180.04,1006.2066666666668,43.32,2.45,202.64333333333332,17.523333333333333,7.2
amritsar,2018,10,23.306451612903224,23.55161290322581,17.154838709677417,70.97096774193548,0.6782903225806451,6.451612903225806,0.2690322580645161,0.0,0.0,14.52258064516129,7.651612903225806,214.4806451612903,1012.9774193548388,9.051612903225807,2.170967741935484,205.041935483871,17.690322580645162,7.387096774193548
amritsar,2018,11,17.826666666666664,17.83,11.846666666666666,71.38000000000001,0.1995999999999999,6.666666666666667,0.4166666666666667,0.0,0.0,14.063333333333333,7.87,205.5533333333333,1015.77,30.966666666666665,1.8733333333333333,157.25,13.583333333333334,6.033333333333333
amritsar,2018,12,12.077419354838709,12.067741935483872,7.361290322580645,76.70967741935483,0.0234193548387096,9.67741935483871,0.672258064516129,0.0,0.0,12.10967741935484,6.429032258064517,245.43548387096772,1018.3419354838708,17.406451612903226,1.5193548387096774,144.4322580645161,12.451612903225806,5.806451612903226
amritsar,2019,1,10.964516129032257,10.9,6.97741935483871,79.47096774193548,0.7383548387096774,38.70967741935484,3.898387096774194,0.0,0.0,13.258064516129032,9.441935483870967,236.6225806451613,1019.4774193548388,40.76451612903226,1.6935483870967742,132.88709677419354,11.448387096774193,5.193548387096774
amritsar,2019,2,13.564285714285717,13.542857142857144,9.525,79.65714285714286,3.6797142857142857,39.285714285714285,4.166785714285714,0.0,0.0,16.064285714285713,10.017857142857142,225.87142857142857,1016.4892857142858,43.346428571428575,2.1142857142857143,162.43928571428572,14.032142857142857,6.142857142857143
amritsar,2019,3,17.874193548387098,17.848387096774193,10.651612903225804,66.3225806451613,0.2452258064516129,22.580645161290324,1.479032258064516,0.0,0.0,15.709677419354838,10.058064516129033,264.5806451612903,1014.0870967741936,36.59032258064516,2.4516129032258065,220.91612903225808,19.07741935483871,7.806451612903226
amritsar,2019,4,26.56,26.52,15.573333333333332,55.71666666666667,1.2180666666666666,26.666666666666668,2.6386666666666665,0.0,0.0,20.416666666666668,13.8,254.79333333333332,1008.4366666666666,34.556666666666665,2.5900000000000003,269.3666666666667,23.24,8.833333333333334
